Time,Temperature
0,-0.70710677
1,-0.5312924
2,-0.5299625
3,0.014880376
4,-0.11817149
5,-0.07233121
6,-0.40312263
7,0.27913132
8,1.2221098
9,0.70733917
10,0.20051871
11,-0.07102717
12,0.067044005
13,0.16968793
14,0.4589208
15,0.45375624
16,0.37387994
17,0.87648803
18,1.3349844
19,2.0199754
20,1.310364
21,0.8882729
22,-0.036705464
23,0.5741872
24,-0.26481745
25,-0.7111577
26,-1.0847939
27,-1.0157342
28,-0.78091794
29,-0.18122749
30,1.1391622
31,0.6792117
32,0.7252989
33,1.2853272
34,1.5993515
35,1.7268999
36,-0.15341797
37,-0.86927867
38,-0.38022104
39,0.14594711
40,0.83537817
41,-0.02161528
42,-0.28721708
43,-0.40861803
44,-0.76721895
45,-1.4058825
46,-1.5267217
47,-2.590717
48,-2.9410563
49,-2.8031545
50,-2.9422877
51,-2.5145173
52,-2.2077298
53,-2.0266798
54,-2.2011473
55,-2.3845527
56,-2.9215117
57,-2.7146647
58,-2.0763354
59,-2.0663605
60,-1.49796
61,-1.7202085
62,-1.2406424
63,-0.67475724
64,-0.72748417
65,0.13646047
66,-0.6678077
67,-1.593551
68,-0.9545342
69,-1.137261
70,-1.652745
71,-1.0345267
72,-1.8150024
73,-1.3259367
74,-1.7621351
75,-1.4117297
76,-1.6559938
77,-2.4502668
78,-2.1604006
79,-2.3056133
80,-1.7733567
81,-2.12755
82,-2.592105
83,-2.6182425
84,-2.6675284
85,-2.8518047
86,-3.2789392
87,-3.302885
88,-3.170529
89,-4.1669436
90,-4.6365476
91,-4.8563795
92,-5.0225334
93,-4.8674293
94,-4.038831
95,-3.6609268
96,-3.548338
97,-3.6649504
98,-3.8021128
99,-3.5150788
100,-3.3816414
101,-3.1902187
102,-2.852268
103,-2.161315
104,-2.4643936
105,-3.1143577
106,-2.629117
107,-3.1834
108,-2.485711
109,-2.7238634
110,-1.3427796
111,-2.2361283
112,-2.2671947
113,-1.0365441
114,-1.6092707
115,-2.5029624
116,-2.2226722
117,-2.725817
118,-2.1160524
119,-2.8095965
120,-2.663802
121,-1.9415324
122,-2.1115124
123,-2.5618455
124,-2.057805
125,-1.8110241
126,-1.7977722
127,-2.1136913
128,-1.9657332
129,-2.441434
130,-2.5782897
131,-2.2223663
132,-2.319606
133,-1.5450301
134,-2.2577758
135,-1.9061503
136,-1.8389127
137,-2.163965
138,-2.144054
139,-1.7528389
140,-0.82888216
141,-0.19426475
142,-0.29532865
143,-0.62672365
144,-0.34844935
145,0.35168204
146,0.616004
147,-0.11782127
148,1.061208
149,0.857752
150,0.75713676
151,0.6461892
152,0.25304708
153,0.34674343
154,0.76257247
155,1.4755474
156,0.6270077
157,1.1056635
158,1.9614418
159,2.3113937
160,1.5969177
161,0.99915266
162,1.0609999
163,0.85386246
164,-0.16559018
165,0.62242097
166,0.8759974
167,-0.018038824
168,0.6716085
169,1.3699661
170,-0.18014777
171,0.10541988
172,0.41300145
173,0.2718832
174,0.8108062
175,-0.16869214
176,-1.5386308
177,-1.2394143
178,-1.0584918
179,-1.4756346
180,-1.6658798
181,-1.2823334
182,-1.6325612
183,-1.9835565
184,-2.966085
185,-3.0071714
186,-3.513765
187,-3.2926576
188,-2.3368783
189,-2.953423
190,-2.8205752
191,-2.3232398
192,-2.603187
193,-2.2039702
194,-1.6047049
195,-2.0507917
196,-1.6579983
197,-0.7750723
198,-1.6815954
199,-1.6948054
200,-2.3268414
201,-2.3543756
202,-1.6064254
203,-1.712745
204,-0.9040942
205,-0.41149887
206,-0.38686234
207,-0.04001078
208,0.42483473
209,0.07477954
210,0.7897203
211,0.9773599
212,0.11439168
213,0.23638332
214,-0.42439252
215,-1.6438022
216,-1.9551289
217,-1.429762
218,-2.3322415
219,-2.543935
220,-1.9358481
221,-2.3060515
222,-2.7064788
223,-2.7304811
224,-2.4184186
225,-2.9497504
226,-2.360056
227,-2.8946962
228,-2.7775602
229,-2.5502253
230,-1.9145694
231,-1.5892403
232,-0.70969385
233,-1.1802591
234,-1.637169
235,-2.067395
236,-2.0071094
237,-1.8215033
238,-2.409781
239,-3.718563
240,-4.2716017
241,-3.803818
242,-3.4569647
243,-2.35786
244,-3.1122096
245,-2.5711336
246,-2.6598518
247,-2.833335
248,-3.1626723
249,-2.7839377
250,-2.2112844
251,-1.632395
252,-1.0136764
253,-1.1274871
254,-0.57142097
255,0.16375838
256,0.5761772
257,1.1141834
258,1.8333656
259,1.0315377
260,1.7676644
261,1.4935653
262,0.8953532
263,1.2497885
264,0.8737024
265,1.0878894
266,1.0095867
267,0.47288123
268,0.62285674
269,-0.083922416
270,-1.0079341
271,-0.83529747
272,0.009912719
273,0.45601895
